Pincode,Dealer,Model,Month,Financial_Year,Units_Sold
500096,rk1,swi,Apr-24,FY 24-25,45
500096,jay1,Alt,Apr-24,FY 24-25,12
500096,ada1,Alt,Apr-24,FY 24-25,29
500096,rk2,wag,May-24,FY 24-25,7
500096,rk1,eec,May-24,FY 24-25,44
500096,var1,cel,May-24,FY 24-25,29
500096,kal1,wag,Jun-24,FY 24-25,19
500096,var1,swi,Jun-24,FY 24-25,32
500096,ada1,swi,Jun-24,FY 24-25,6
500096,rk2,swi,Jul-24,FY 24-25,34
500096,kal2,spr,Jul-24,FY 24-25,22
500096,ace1,des,Jul-24,FY 24-25,5
500096,ada2,cel,Aug-24,FY 24-25,26
500096,var1,des,Aug-24,FY 24-25,44
500096,jay1,eec,Aug-24,FY 24-25,48
500096,ace1,bre,Sep-24,FY 24-25,5
500096,var1,ert,Sep-24,FY 24-25,12
500096,ada2,swi,Sep-24,FY 24-25,32
500096,var1,des,Oct-24,FY 24-25,42
500096,rk1,ert,Oct-24,FY 24-25,19
500096,var2,cel,Oct-24,FY 24-25,40
500096,jay1,spr,Nov-24,FY 24-25,7
500096,ada1,spr,Nov-24,FY 24-25,19
500096,kal2,eec,Nov-24,FY 24-25,32
500096,kal1,Alt,Dec-24,FY 24-25,25
500096,rk2,cel,Dec-24,FY 24-25,29
500096,var1,swi,Dec-24,FY 24-25,29
500096,var2,bre,Jan-25,FY 25-26,33
500096,kal2,Alt,Jan-25,FY 25-26,39
500096,ada1,eec,Jan-25,FY 25-26,46
500096,kal1,spr,Feb-25,FY 25-26,47
500096,var2,wag,Feb-25,FY 25-26,22
500096,jay2,wag,Feb-25,FY 25-26,5
500096,kal2,swi,Mar-25,FY 25-26,38
500096,ace1,cel,Mar-25,FY 25-26,8
500096,kal1,spr,Mar-25,FY 25-26,8
500096,ada1,spr,Apr-25,FY 25-26,33
500096,jay2,eec,Apr-25,FY 25-26,48
500096,ada2,Alt,Apr-25,FY 25-26,31
500096,jay2,bre,May-25,FY 25-26,6
500096,ada2,bre,May-25,FY 25-26,15
500096,ace1,ert,May-25,FY 25-26,48
500096,var2,spr,Jun-25,FY 25-26,23
500096,jay2,bre,Jun-25,FY 25-26,48
500096,ace1,wag,Jun-25,FY 25-26,27
500096,ada2,eec,Jul-25,FY 25-26,14
500096,var2,wag,Jul-25,FY 25-26,5
500096,rk2,Alt,Jul-25,FY 25-26,8
500096,var2,Alt,Aug-25,FY 25-26,18
500096,ace1,bre,Aug-25,FY 25-26,34
500096,jay1,bre,Aug-25,FY 25-26,7
500096,ada1,swi,Sep-25,FY 25-26,41
500096,var1,ert,Sep-25,FY 25-26,27
500096,rk2,eec,Sep-25,FY 25-26,33
500096,kal2,swi,Oct-25,FY 25-26,38
